|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
22|ZERO|"data/parsed/22/wsj_2200.mrg|3|48"|The bill intends to restrict the RTC to Treasury borrowings only , unless the agency receives [ specific congressional authorization . ]|authorization|sg|NN|[u'legal_document.n.01']||VP|['.']|['JJ', 'JJ']|False|['.']|[]|['specific', 'congressional']|['agency', u'receive']|NN|False|False|False|0|False|||receives|False|0.941176470588|A|ZERO
873|ZERO|"data/parsed/22/wsj_2204.mrg|3|54"|Why not extend the same harsh standards to the sales force , and pay brokers a base salary with [ annual bonus ] based on how much money they made for their clients during the year ?|bonus|sg|NN|[u'positive_stimulus.n.01']||NP|[]|['JJ']|False|[]|[u'base', 'on']|['annual']|['salary', 'with']|NN|False|True|False|14|False|VP|based|extend|False|0.558823529412|A|ZERO
1262|ZERO|"data/parsed/22/wsj_2207.mrg|8|65"|He also said the fact that the other letter had n't come from Transportation Secretary Samuel Skinner indicated there is `` [ wiggle room '' ] in the administration 's position .|room|sg|NN|[u'area.n.05']||NP|"[""''""]"|['JJ']|False|"[""''""]"|['in']|['wiggle']|[u'be', '``']|NN|False|True|False|6|False|PP|in|is|False|0.75|A|ZERO
1796|ZERO|"data/parsed/22/wsj_2211.mrg|7|14"|George M. Salem , [ analyst ] at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''|analyst|sg|NN|[u'expert.n.01']||NP|[]|[]|False|[]|['at', 'Prudential-Bache']|[]|['Salem', ',']|NN|False|True|False|5|False|PP|at|called|False|0.222222222222|A|ZERO
2288|ZERO|"data/parsed/22/wsj_2215.mrg|2|55"|To spend a carefree , idle day , When duty calls , to pay no heed , To [ while ] the precious hours away -- Character is what you need .|while|sg|NN|[u'time.n.03']||NP|[]|[]|False|[]|['precious']|[]|[',', 'To']|NN|False|True|False|5|False|ADVP|the|is|False|0.6|A|ZERO
2937|ZERO|"data/parsed/22/wsj_2223.mrg|19|27"|Over a third of 618 hospitals surveyed by [ consultant ] Hewitt Associates use a `` clinical ladder , '' basing advancement on performance and education .|consultant|sg|NN|[u'authority.n.03']||PP|[]|[]|False|[]|['Hewitt', 'Associates']|[]|[u'survey', 'by']|NN|False|False|False|0|False|||use|False|0.32|A|ZERO
3081|ZERO|"data/parsed/22/wsj_2224.mrg|1|70"|Yesterday was , in the words of New York Stock Exchange Chairman John J. Phelan Jr. , just your `` reasonably normal , 400 million-share , up [ 88-points day . '' ]|day|sg|NN|[u'time_unit.n.01']||ADVP|"['.', ""''""]"|['CD']|False|"['.', ""''""]"|[]|['88-points']|[',', 'up']|NN|False|False|False|0|False|||was|False|0.964285714286|A|ZERO
3107|ZERO|"data/parsed/22/wsj_2224.mrg|6|65"|Prices for the 416.3 million shares that changed hands during the session were carried on the exchange 's trading tape with [ barely a delay , ] officials said S .|delay|sg|NN|[u'pause.n.01']||PP|[',']|['RB']|False|[',']|[u'official', u'say']|['barely']|['tape', 'with']|NN|False|False|False|0|False|||were|False|0.807692307692|A|ZERO
4215|ZERO|"data/parsed/22/wsj_2230.mrg|46|12"|`` It 's [ pure psychology , '' ] said William Au Yeung , an account executive for Drexel Burnham Lambert -LRB- HK -RRB- Ltd. in Hong Kong .|psychology|sg|NN|[u'science.n.01']||VP|"[',', ""''""]"|['JJ']|False|"[',', ""''""]"|[u'say', 'William']|['pure']|"['It', ""'s""]"|NN|False|False|False|0|False|||'s|False|0.125|A|ZERO
5982|ZERO|"data/parsed/22/wsj_2239.mrg|89|38"|Florida Board of Education 's 7 1\\/4 % issue of 2023 was [ 5\\/8 point ] weaker at 99 1\\/2 bid .|point|sg|NN|[u'component.n.01']||ADJP|[]|['CD']|True|[]|[u'weak', 'at']|['5\\\\/8']|['<number>', u'be']|NN|False|False|False|0|False|||was|True|0.631578947368|A|ZERO
