|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
36|THE|"data/parsed/22/wsj_2200.mrg|6|19"|This financing system was created in [ the new law ] in order to keep the bailout spending from swelling the budget deficit .|law|sg|NN|[u'collection.n.01']||PP|[]|['JJ']|True|[]|['in', 'order']|['new']|[u'create', 'in']|NN|False|False|False|0|False|||was|True|0.3|A|THE
495|THE|"data/parsed/22/wsj_2202.mrg|10|73"|Mark McGwire , the big , red-haired Oakland first baseman , had three hits in four at bats , two more than he 'd had in [ the five-game Dodger series ] in which he 'd gone 1-for-17 .|series|sg|NN|[u'ordering.n.01']||PP|[]|['JJ', 'NNP']|False|[]|['in', 'which']|['five-game', 'Dodger']|[u'have', 'in']|NN|False|False|False|0|False|||'d|False|0.764705882353|A|THE
1474|THE|"data/parsed/22/wsj_2209.mrg|6|67"|Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off [ the auction block . ]|block|sg|NN|[u'artifact.n.01']||PP|['.']|['NN']|False|['.']|[]|['auction']|['itself', 'off']|NN|False|False|False|0|False|||announced|False|0.95652173913|A|THE
1626|THE|"data/parsed/22/wsj_2210.mrg|24|72"|Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after [ the mild 1.8 % decline ] in Tokyo stock prices .|decline|sg|NN|[u'decrease.n.02']||NP|[]|['JJ', 'CD', 'NN']|False|[]|['in', 'Tokyo']|['mild', '<number>', '%']|['optimistic', 'after']|NN|False|True|False|5|False|PP|in|were|False|0.8|A|THE
2179|THE|"data/parsed/22/wsj_2213.mrg|8|14"|Among other issues , [ the group 's ] letter said it has `` concerns as to whether Dow Jones 's offer meets the applicable requirements of procedural fairness . ''|group|sg|NN|[u'abstraction.n.06']||NPB|['POS']|[]|True|"[""'s""]"|['letter', u'say']|[]|[u'issue', ',']|NN|False|False|False|0|False|||said|True|0.148148148148|A|THE
2393|THE|"data/parsed/22/wsj_2218.mrg|2|20"|Under terms of the offer , [ the sporting goods maker ] will swap $ 9 face amount of 9 1\\/4 % subordinated notes due 1996 and one warrant for each common share .|maker|sg|NN|[u'creator.n.02']||S|[]|['JJ', 'NNS']|False|[]|['will', 'swap']|['sporting', u'good']|['offer', ',']|NN|False|False|False|0|False|||will|False|0.206896551724|A|THE
2426|THE|"data/parsed/22/wsj_2218.mrg|8|21"|BSN said it is making [ the offer ] to shrink its capital and increase shareholder value .|offer|sg|NN|[u'speech_act.n.01']||NP|[]|[]|True|[]|['to', 'shrink']|[]|[u'be', u'make']|NN|False|True|False|9|False|S|to|is|True|0.333333333333|A|THE
2832|THE|"data/parsed/22/wsj_2223.mrg|2|67"|The `` social dimension '' -- worker concerns -- of the European Community 's plan to open its internal borders in 1992 could set [ the effort `` ] off the rails '' if not done reasonably , says S General Electric senior vice president Frank Doyle .|effort|sg|NN|[u'activity.n.01']||VP|['``']|[]|False|['``']|['off']|[]|['could', 'set']|NN|False|False|False|0|False|||could|False|0.545454545455|A|THE
2893|THE|"data/parsed/22/wsj_2223.mrg|12|13"|More taunting in [ the parking lot , ] the players said S , led to a fight .|lot|sg|NN|[u'large_indefinite_quantity.n.01']||PP|[',']|['NN']|False|[',']|[u'player']|['parking']|[u'taunt', 'in']|NN|False|False|False|0|False|||taunting|False|0.214285714286|A|THE
3138|THE|"data/parsed/22/wsj_2224.mrg|10|36"|Of greater help , the Big Board chairman said SINV , was [ the `` natural circuit breaker '' ] of the weekend , that provided a breathing period that `` brought rationality back to the market .|breaker|sg|NN|[u'quarryman.n.01']||NP|"[""''""]"|['``', 'JJ', 'NN']|True|"[""''""]"|['of']|['``', 'natural', 'circuit']|[',', u'be']|NN|False|True|False|4|True|PP|of|was|True|0.387096774194|A|THE
