,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
15,data/parsed/22/wsj_2200.mrg|2|82,"The bill , whose backers include Chairman Dan Rostenkowski -LRB- D. , Ill. -RRB- , would prevent the Resolution Trust Corp. from raising temporary working capital by having [ an RTC-owned bank or thrift ] issue debt that would n't be counted on the federal budget .",thrift,sg,NN,[u'subshrub.n.01'],,S,[],"['JJ', 'NN', 'CC']",True,[],"['issue', 'debt']","['RTC-owned', 'bank', 'or']","['by', u'have']",THE,A
113,data/parsed/22/wsj_2200.mrg|19|31,`` The RTC is going to have to pay [ a price ] of prior consultation on the Hill if they want that kind of flexibility . '',price,sg,NN,[u'value.n.02'],,NP,[],[],False,[],"['of', 'prior']",[],"['to', 'pay']",THE,A
130,data/parsed/22/wsj_2201.mrg|2|54,"Hard on the heels of Friday 's 190-point stock-market plunge and the uncertainty that 's followed , [ a few big brokerage firms ] are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine .",firm,pl,NN,[u'business.n.01'],,S,[],"['JJ', 'JJ', 'NN']",False,[],"[u'be', u'roll']","['few', 'big', 'brokerage']","[u'follow', ',']",THE,A
175,data/parsed/22/wsj_2201.mrg|11|13,"The brokerage firms learned [ a lesson ] the last time around , when frightened investors flooded the phone lines and fled the market in a panic .",lesson,sg,NN,[u'teaching.n.01'],,VP,[],[],False,[],['last'],[],"[u'firm', u'learn']",THE,A
188,data/parsed/22/wsj_2201.mrg|13|40,"Fidelity , for example , prepared ads several months ago in case of [ a market plunge . ]",plunge,sg,NN,[u'swimming.n.01'],,PP,['.'],['NN'],False,['.'],[],['market'],"['case', 'of']",THE,A
429,data/parsed/22/wsj_2202.mrg|2|91,"It 's what 1 -RRB- explains why we are like , well , ourselves rather than Bo Jackson ; 2 -RRB- cautions that it 's possible to drown in [ a lake ] that averages two feet deep ; and 3 -RRB- predicts that 10,000 monkeys placed before 10,000 pianos would produce 1,118 publishable rock 'n' roll tunes .",lake,sg,NN,[u'body_of_water.n.01'],,PP,[],[],False,[],"['that', u'average']",[],"['drown', 'in']",THE,A
460,data/parsed/22/wsj_2202.mrg|6|9,"He hit [ a 2-0 pitch ] from Rick Reuschel into the left-field stands in inning four to stretch his team 's lead from 2-1 to a decisive 5-1 , where it stayed .",pitch,sg,NN,[u'sound_property.n.01'],,VP,[],['CD'],False,[],"['from', 'Rick']",['2-0'],"['He', 'hit']",THE,A
505,data/parsed/22/wsj_2202.mrg|11|85,"The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in [ a 5-0 decision . ]",decision,sg,NN,[u'choice.n.02'],,PP,['.'],['JJ'],False,['.'],[],['5-0'],"[u'run', 'in']",THE,A
516,data/parsed/22/wsj_2202.mrg|13|43,"That he was the A 's winningest pitcher during its American League campaign with [ a 21-9 mark , ] plus two wins over Toronto in the playoffs , indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .",mark,sg,NN,[u'evaluation.n.02'],,NP,"[',']",['JJ'],False,"[',']","['plus', 'two']",['21-9'],"['campaign', 'with']",THE,A
531,data/parsed/22/wsj_2202.mrg|14|56,"The same goes for Mike Moore , another veteran who overcame early struggles to permit the Giants but [ a run ] and four hits in seven innings in Sunday 's contest .",run,sg,NN,[u'score.n.10'],,NP,[],[],True,[],"['and', 'four']",[],"['Giants', 'but']",THE,A
592,data/parsed/22/wsj_2202.mrg|22|3,[ A few folks ] even showed up wearing caps bearing the colors and emblems of both teams .,folk,pl,NN,[u'kin.n.02'],,S,[],['JJ'],False,[],"['even', u'show']",['few'],[],THE,A
608,data/parsed/22/wsj_2202.mrg|25|64,"The only thing I 'm rooting for is for the Series to go seven games , '' said David Williams , [ a Sacramento septuagenarian , ] at the Coliseum before Sunday 's go .",septuagenarian,sg,NN,[u'oldster.n.01'],,NP,"[',']",['NNP'],False,"[',']",['at'],['Sacramento'],"['Williams', ',']",THE,A
613,data/parsed/22/wsj_2202.mrg|26|12,The above represents [ a triumph ] of either apathy or civility .,triumph,sg,NN,"[u'ending.n.04', u'success.n.01']",,NP,[],[],False,[],"['of', 'either']",[],"['above', u'represent']",THE,A
654,data/parsed/22/wsj_2202.mrg|31|40,"He was flawless afield -LRB- ditto in game two -RRB- , moved [ a runner ] along in the A 's three-run second inning , and homered for his team 's final tally .",runner,sg,NN,[u'criminal.n.01'],,NP,[],[],False,[],"['along', 'in']",[],"[',', u'move']",THE,A
670,data/parsed/22/wsj_2202.mrg|32|112,"Such is his reputation among the East Bay Bashers that when he hit his first career home run last season , the fan who caught it agreed to turn the ball over to him in return for [ an autograph . ]",autograph,sg,NN,[u'writing.n.02'],,PP,['.'],[],False,['.'],[],[],"['return', 'for']",THE,A
674,data/parsed/22/wsj_2202.mrg|34|5,"[ An A 's ] co-hero of the second game was Rickey Henderson , who exemplifies the hot side of the hot-cold equation .",A,sg,NNP,[u'metric_linear_unit.n.01'],,NPB,['POS'],[],True,"[""'s""]","['co-hero', 'of']",[],[],THE,A
691,data/parsed/22/wsj_2202.mrg|35|122,"He smoked Toronto in the playoffs with six hits , seven walks and eight stolen bases in 22 at bats , and continued that by going 3-for-3 at the plate Sunday , along with walking , stealing a base and scoring [ a run . ]",run,sg,NN,[u'score.n.10'],,VP,['.'],[],True,['.'],[],[],"['and', u'score']",THE,A
769,data/parsed/22/wsj_2203.mrg|6|63,"The computer maker , which sells more than half its goods outside the U.S. , also said the negative effect of [ a stronger U.S. dollar ] will `` adversely affect '' its fourth-quarter performance and `` make it difficult '' to better 1988 results .",dollar,sg,NN,[u'monetary_unit.n.01'],,PP,[],"['JJR', 'NNP']",False,[],"['will', '``']","[u'strong', 'U.S.']","['effect', 'of']",THE,A
793,data/parsed/22/wsj_2203.mrg|10|15,"In addition to [ a general slowing ] of the computer industry , NCR , which sells automated teller machines and computerized cash registers , is also affected by the retail and financial sectors , `` areas of the economy that have generally not been robust , '' notes S Sanjiv G. Hingorani , an analyst for Salomon Brothers Inc .",slowing,sg,NN,[u'change.n.01'],,NP,[],['JJ'],False,[],['of'],['general'],"['addition', 'to']",THE,A
880,data/parsed/22/wsj_2204.mrg|4|33,"That should stop a lot of account-churning , and produce [ a stock market ] driven only by professional concern , careful thought and good sense .",market,sg,NN,[u'activity.n.01'],,NP,[],['NN'],False,[],"[u'drive', 'only']",['stock'],"['and', 'produce']",THE,A
989,data/parsed/22/wsj_2205.mrg|19|14,"The Jefferies office , [ a branch ] of the Los Angeles-based firm , played it conservatively , seeking to avoid risk .",branch,sg,NN,[u'division.n.04'],,NP,[],[],False,[],['of'],[],"['office', ',']",THE,A
1036,data/parsed/22/wsj_2205.mrg|28|27,"He targeted 7,500 shares of Reuters and punched [ a button ] to call up on his screen other dealers ' price quotes .",button,sg,NN,[u'fastener.n.02'],,VP,[],[],False,[],"['to', 'call']",[],"['and', u'punch']",THE,A
1049,data/parsed/22/wsj_2205.mrg|30|25,"But the market sensed a serious buyer on [ a day ] dominated by selling , and the quotes immediately jumped to 850 pence .",day,sg,NN,[u'time_unit.n.01'],,NP,[],[],False,[],"[u'dominate', 'by']",[],"['buyer', 'on']",THE,A
1085,data/parsed/22/wsj_2205.mrg|39|18,"`` It 's falling like [ a stone , '' ] said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .",stone,sg,NN,[u'natural_object.n.01'],,PP,"[',', ""''""]",[],False,"[',', ""''""]","[u'say', 'Danny']",[],"[u'fall', 'like']",THE,A
1132,data/parsed/22/wsj_2205.mrg|48|10,They saw [ an opportunity ] created by the sell-off .,opportunity,sg,NN,[u'possibility.n.02'],,NP,[],[],False,[],"[u'create', 'by']",[],"['They', 'saw']",THE,A
1159,data/parsed/22/wsj_2205.mrg|55|33,"Then , nine minutes later , Wall Street suddenly rebounded to [ a gain ] on the day .",gain,sg,NN,[u'indefinite_quantity.n.01'],,NP,[],[],False,[],['on'],[],"[u'rebound', 'to']",THE,A
1187,data/parsed/22/wsj_2206.mrg|1|127,"Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have a million people working for you , every bad thing that has one chance in a million of going wrong will go wrong at least once [ a year , '' ] is a pretty negative way of looking at things .",year,sg,NN,[u'time_period.n.01'],,S,"[',', ""''""]",[],False,"[',', ""''""]",[u'be'],[],"['least', 'once']",THE,A
1216,data/parsed/22/wsj_2207.mrg|2|84,"The collapsed plan to acquire UAL Corp. , parent of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by the subcommittee on [ a voice vote ] yesterday .",vote,sg,NN,[u'choice.n.02'],,PP,[],['NN'],False,[],"['yesterday', '.']",['voice'],"['subcommittee', 'on']",THE,A
1289,data/parsed/22/wsj_2207.mrg|13|31,The bill is aimed at addressing the concern that [ an airline ] might sacrifice costly safety measures to pay off the debt incurred in a leveraged buy-out .,airline,sg,NN,[u'hose.n.03'],,S,[],[],False,[],"['might', 'sacrifice']",[],"['concern', 'that']",THE,A
1311,data/parsed/22/wsj_2207.mrg|16|29,"In general , the bill would give the Transportation Department [ a 30-day review period ] before 15 % or more of the voting stock of a major U.S. air carrier could be acquired .",period,sg,NN,[u'fundamental_quantity.n.01'],,VP,[],"['JJ', 'NN']",False,[],"['before', '<number>']","['30-day', 'review']","['Transportation', 'Department']",THE,A
1323,data/parsed/22/wsj_2207.mrg|18|26,"The bill would allow the secretary to reject [ a buy-out ] if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through disposal of assets , or give control to a foreign interest .",buy-out,sg,NN,,,VP,[],[],True,[],"['if', 'sufficient']",[],"['to', 'reject']",THE,A
1379,data/parsed/22/wsj_2208.mrg|2|87,"`` It could be a long meeting or it could be a short one , '' said Doug Hammond , the mediator , who called the agreement to meet [ a first step ] toward a resumption of negotiations .",step,sg,NN,[u'maneuver.n.04'],,NP,[],['JJ'],False,[],['toward'],['first'],"['to', 'meet']",THE,A
1380,data/parsed/22/wsj_2208.mrg|2|98,"`` It could be a long meeting or it could be a short one , '' said Doug Hammond , the mediator , who called the agreement to meet a first step toward [ a resumption ] of negotiations .",resumption,sg,NN,[u'beginning.n.05'],,NP,[],[],True,[],"['of', u'negotiation']",[],"['step', 'toward']",THE,A
1406,data/parsed/22/wsj_2208.mrg|7|7,"With [ a strike fund ] of about $ 100 million , the union had said it was prepared for a long strike .",fund,sg,NN,[u'money.n.01'],,NP,[],['NN'],False,[],"['of', 'about']",['strike'],['With'],THE,A
2080,data/parsed/22/wsj_2212.mrg|3|31,McCaw 's revised tender offer would require McCaw to begin [ an auction process ] in July 1994 that would buy out remaining holders at a per-share price roughly equivalent to what a third party might then have to pay for all of LIN .,process,sg,NN,[u'activity.n.01'],,VP,[],['NN'],False,[],"['in', 'July']",['auction'],"['to', 'begin']",THE,A
2084,data/parsed/22/wsj_2212.mrg|3|89,McCaw 's revised tender offer would require McCaw to begin an auction process in July 1994 that would buy out remaining holders at a per-share price roughly equivalent to what [ a third party ] might then have to pay for all of LIN .,party,sg,NN,[u'organization.n.01'],,S,[],['JJ'],False,[],"['might', 'then']",['third'],"['to', 'what']",THE,A
2090,data/parsed/22/wsj_2212.mrg|4|41,"LIN is asking McCaw to clarify its tender offer , which challenges [ an agreement ] between BellSouth Corp. and LIN to merge their cellular-telephone businesses .",agreement,sg,NN,[u'statement.n.01'],,NP,[],[],False,[],"['between', 'BellSouth']",[],"['which', u'challenge']",THE,A
