|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
15|A|"data/parsed/22/wsj_2200.mrg|2|82"|The bill , whose backers include Chairman Dan Rostenkowski -LRB- D. , Ill. -RRB- , would prevent the Resolution Trust Corp. from raising temporary working capital by having [ an RTC-owned bank or thrift ] issue debt that would n't be counted on the federal budget .|thrift|sg|NN|[u'subshrub.n.01']||S|[]|['JJ', 'NN', 'CC']|True|[]|['issue', 'debt']|['RTC-owned', 'bank', 'or']|['by', u'have']|NN|False|False|False|0|False|||issue|True|0.682926829268|THE|A
56|A|"data/parsed/22/wsj_2200.mrg|10|13"|`` It 's [ a problem ] that clearly has to be resolved , '' said David Cooke , executive director of the RTC .|problem|sg|NN|[u'difficulty.n.03']||NP|[]|[]|False|[]|['that', 'clearly']|[]|"['It', ""'s""]"|NN|False|True|False|8|False|SBAR|that|'s|False|0.136363636364|THE|A
107|A|"data/parsed/22/wsj_2200.mrg|18|17"|`` That secrecy leads to [ a proposal ] like the one from Ways and Means , which seems to me sort of draconian , '' he said .|proposal|sg|NN|[u'message.n.02']||PP|[]|[]|False|[]|['like']|[]|[u'lead', 'to']|NN|False|False|False|0|False|||leads|False|0.192307692308|THE|A
113|A|"data/parsed/22/wsj_2200.mrg|19|31"|`` The RTC is going to have to pay [ a price ] of prior consultation on the Hill if they want that kind of flexibility . ''|price|sg|NN|[u'value.n.02']||NP|[]|[]|False|[]|['of', 'prior']|[]|['to', 'pay']|NN|False|True|False|6|True|PP|of|to|False|0.36|THE|A
130|A|"data/parsed/22/wsj_2201.mrg|2|54"|Hard on the heels of Friday 's 190-point stock-market plunge and the uncertainty that 's followed , [ a few big brokerage firms ] are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine .|firm|pl|NN|[u'business.n.01']||S|[]|['JJ', 'JJ', 'NN']|False|[]|[u'be', u'roll']|['few', 'big', 'brokerage']|[u'follow', ',']|NN|False|False|False|0|False|||are|False|0.447368421053|THE|A
132|A|"data/parsed/22/wsj_2201.mrg|2|84"|Hard on the heels of Friday 's 190-point stock-market plunge and the uncertainty that 's followed , a few big brokerage firms are rolling out new ads trumpeting [ a familiar message : ] Keep on investing , the market 's just fine .|message|sg|NN|[u'communication.n.02']||NP|[':']|['JJ']|False|[':']|['Keep', 'on']|['familiar']|[u'ad', u'trumpet']|NN|False|True|False|10|False|S|Keep|are|False|0.717948717949|THE|A
175|A|"data/parsed/22/wsj_2201.mrg|11|13"|The brokerage firms learned [ a lesson ] the last time around , when frightened investors flooded the phone lines and fled the market in a panic .|lesson|sg|NN|[u'teaching.n.01']||VP|[]|[]|False|[]|['last']|[]|[u'firm', u'learn']|NN|False|False|False|0|False|||learned|False|0.16|THE|A
188|A|"data/parsed/22/wsj_2201.mrg|13|40"|Fidelity , for example , prepared ads several months ago in case of [ a market plunge . ]|plunge|sg|NN|[u'swimming.n.01']||PP|['.']|['NN']|False|['.']|[]|['market']|['case', 'of']|NN|False|False|False|0|False|||prepared|False|0.928571428571|THE|A
245|A|"data/parsed/22/wsj_2201.mrg|25|75"|In the aftermath of the 1987 debacle , the brokerage firm began taping commercials in-house , ultimately getting its timing down fast enough to tape [ a commercial ] after the market closed and rush it on the air that night .|commercial|sg|NN|[u'ad.n.01']||NP|[]|[]|False|[]|['after']|[]|['to', 'tape']|NN|False|True|False|4|False|SBAR|after|to|True|0.641025641026|THE|A
267|A|"data/parsed/22/wsj_2201.mrg|28|69"|Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through [ a relatively normal cycle ... . ]|cycle|sg|NN|[u'time_interval.n.01']||PP|[':', '.']|['RB', 'JJ']|False|['...', '.']|[]|['relatively', 'normal']|[u'go', 'through']|NN|False|False|False|0|False|||going|False|0.958333333333|THE|A
