,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
22,data/parsed/22/wsj_2200.mrg|3|48,"The bill intends to restrict the RTC to Treasury borrowings only , unless the agency receives [ specific congressional authorization . ]",authorization,sg,NN,[u'legal_document.n.01'],,VP,['.'],"['JJ', 'JJ']",False,['.'],[],"['specific', 'congressional']","['agency', u'receive']",A,ZERO
114,data/parsed/22/wsj_2200.mrg|19|40,`` The RTC is going to have to pay a price of [ prior consultation ] on the Hill if they want that kind of flexibility . '',consultation,sg,NN,[u'conference.n.03'],,NP,[],['JJ'],False,[],['on'],['prior'],"['price', 'of']",A,ZERO
630,data/parsed/22/wsj_2202.mrg|28|100,"Suffice it to say that if this were a New York Yankees-Mets series , or one between the Chicago Cubs and White Sox -LRB- hey , it 's possible -RRB- , you 'd need [ uniformed police ] in every other seat to separate opposing fans , and only the suicidal would bifurcate their bonnets .",police,sg,NN,"[u'force.n.04', u'law_enforcement_agency.n.01']",,NP,[],['JJ'],False,[],"['in', 'every']",['uniformed'],"[""'d"", 'need']",A,ZERO
646,data/parsed/22/wsj_2202.mrg|30|52,"In the opening game , besides Steinbach and Stewart , there was Walt Weiss , a twiggy-looking , [ second-year shortstop ] who had lost a couple months of the season to knee surgery .",shortstop,sg,NN,[u'infielder.n.01'],,NP,[],['JJ'],False,[],"['who', u'have']",['second-year'],"['twiggy-looking', ',']",A,ZERO
651,data/parsed/22/wsj_2202.mrg|31|11,"He was [ flawless afield ] -LRB- ditto in game two -RRB- , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .",afield,sg,NN,,,NP,[],['JJ'],False,[],"['-LRB-', 'ditto']",['flawless'],"['He', u'be']",A,ZERO
873,data/parsed/22/wsj_2204.mrg|3|54,"Why not extend the same harsh standards to the sales force , and pay brokers a base salary with [ annual bonus ] based on how much money they made for their clients during the year ?",bonus,sg,NN,[u'positive_stimulus.n.01'],,NP,[],['JJ'],False,[],"[u'base', 'on']",['annual'],"['salary', 'with']",A,ZERO
881,data/parsed/22/wsj_2204.mrg|4|49,"That should stop a lot of account-churning , and produce a stock market driven only by [ professional concern , ] careful thought and good sense .",concern,sg,NN,[u'interest.n.01'],,PP,"[',']",['JJ'],False,"[',']","['careful', 'thought']",['professional'],"['only', 'by']",A,ZERO
883,data/parsed/22/wsj_2204.mrg|4|64,"That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and [ good sense . ]",sense,sg,NN,[u'awareness.n.01'],,NP,['.'],['JJ'],False,['.'],[],['good'],"['thought', 'and']",A,ZERO
1083,data/parsed/22/wsj_2205.mrg|38|24,"By midday , the London market was in [ full retreat . ]",retreat,sg,NN,[u'withdrawal.n.03'],,PP,['.'],['JJ'],False,['.'],[],['full'],"[u'be', 'in']",A,ZERO
1165,data/parsed/22/wsj_2205.mrg|57|11,`` This is [ panic buying ! '' ],panic,sg,NN,[u'fear.n.01'],,VP,"['VBG', '.', ""''""]",[],False,"[u'buy', '!', ""''""]",[],[],"['This', u'be']",A,ZERO
1262,data/parsed/22/wsj_2207.mrg|8|65,He also said the fact that the other letter had n't come from Transportation Secretary Samuel Skinner indicated there is `` [ wiggle room '' ] in the administration 's position .,room,sg,NN,[u'area.n.05'],,NP,"[""''""]",['JJ'],False,"[""''""]",['in'],['wiggle'],"[u'be', '``']",A,ZERO
1412,data/parsed/22/wsj_2208.mrg|8|17,"After the third week on [ strike , ] union members will begin receiving $ 100 a week from the fund .",strike,sg,NN,[u'job_action.n.01'],,PP,"[',']",[],True,"[',']","['union', u'member']",[],"['week', 'on']",A,ZERO
1516,data/parsed/22/wsj_2210.mrg|2|12,"European investors have [ further reason ] for optimism today , after the U.S. rebound .",reason,sg,NN,[u'rational_motive.n.01'],,NP,[],['JJ'],False,[],"['for', 'optimism']",['further'],"[u'investor', 'have']",A,ZERO
