|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
180|A|"data/parsed/22/wsj_2201.mrg|11|64"|The brokerage firms learned a lesson the last time around , when frightened investors flooded the phone lines and fled the market in [ a panic . ]|panic|sg|NN|[u'fear.n.01']||PP|['.']|[]|False|['.']|[]|[]|['market', 'in']|NN|False|False|False|0|False|||flooded|False|0.958333333333|ZERO|A
399|A|"data/parsed/22/wsj_2201.mrg|56|4"|[ A 142-page ad supplement ] to Business Week 's special `` Corporate Elite '' issue calls on business leaders to use their clout to help solve the nation 's education crisis .|supplement|sg|NN|[u'matter.n.06']||NP|[]|['JJ', 'NN']|False|[]|['to', 'Business']|['142-page', 'ad']|[]|NN|False|True|False|10|False|PP|to|calls|False|0.0|ZERO|A
467|A|"data/parsed/22/wsj_2202.mrg|6|71"|He hit a 2-0 pitch from Rick Reuschel into the left-field stands in inning four to stretch his team 's lead from 2-1 to [ a decisive 5-1 , ] where it stayed .|5-1||CD|||NP|[',']|['JJ']|False|[',']|['where', 'it']|['decisive']|['2-1', 'to']|CD|False|True|False|4|False|SBAR|where|to||0.827586206897|ZERO|A
608|A|"data/parsed/22/wsj_2202.mrg|25|64"|The only thing I 'm rooting for is for the Series to go seven games , '' said David Williams , [ a Sacramento septuagenarian , ] at the Coliseum before Sunday 's go .|septuagenarian|sg|NN|[u'oldster.n.01']||NP|[',']|['NNP']|False|[',']|['at']|['Sacramento']|['Williams', ',']|NN|False|False|False|0|False||||False|0.7|ZERO|A
645|A|"data/parsed/22/wsj_2202.mrg|30|44"|In the opening game , besides Steinbach and Stewart , there was Walt Weiss , [ a twiggy-looking , ] second-year shortstop who had lost a couple months of the season to knee surgery .|twiggy-looking|sg|NN|||NP|[',']|[]|False|[',']|['second-year', 'shortstop']|[]|['Weiss', ',']|NN|False|True|False|15|False|NP|second-year|was|False|0.483870967742|ZERO|A
647|A|"data/parsed/22/wsj_2202.mrg|30|69"|In the opening game , besides Steinbach and Stewart , there was Walt Weiss , a twiggy-looking , second-year shortstop who had lost [ a couple months ] of the season to knee surgery .|month|pl|NN|[u'time_period.n.01']||NP|[]|['JJ']|False|[]|['of']|['couple']|[u'have', u'lose']|NN|False|True|False|3|True|PP|of|had|False|0.741935483871|ZERO|A
674|A|"data/parsed/22/wsj_2202.mrg|34|5"|[ An A 's ] co-hero of the second game was Rickey Henderson , who exemplifies the hot side of the hot-cold equation .|A|sg|NNP|[u'metric_linear_unit.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['co-hero', 'of']|[]|[]|NN|True|False|False|0|False|||was||0.0|ZERO|A
710|A|"data/parsed/22/wsj_2202.mrg|39|9"|They went [ a collective 5-for-24 ] here , with zero homers and ribbies .|5-for-24|sg|NN|||VP|[]|['JJ']|False|[]|['here', ',']|['collective']|['They', u'go']|NN|False|False|False|0|False|||went|False|0.181818181818|ZERO|A
786|A|"data/parsed/22/wsj_2203.mrg|9|33"|Analysts estimate those gains at 12 % to 13 % , [ a good part ] of it coming from large orders placed by a few of NCR 's major customers .|part|sg|NN|[u'relation.n.01']||NP|[]|['JJ']|False|[]|['of', 'it']|['good']|['%', ',']|NN|False|True|False|2|True|PP|of|coming|False|0.392857142857|ZERO|A
885|A|"data/parsed/22/wsj_2204.mrg|5|19"|Now , would n't that be [ a novelty . ]|novelty|sg|NN|[u'originality.n.02']||VP|['.']|[]|False|['.']|[]|[]|['that', 'be']|NN|False|False|False|0|False|||would|False|0.857142857143|ZERO|A
889|A|"data/parsed/22/wsj_2205.mrg|1|11"|Steve Clark , [ a Shearson Lehman Hutton Inc. trader , ] reported for work at 5 a.m. , two and a half hours before the usual Monday morning strategy meeting .|trader|sg|NN|[u'merchant.n.01']||NP|[',']|['NNP', 'NNP', 'NNP', 'NNP']|False|[',']|[u'report', 'for']|['Shearson', 'Lehman', 'Hutton', 'Inc.']|['Clark', ',']|NN|False|False|False|0|False|||reported|False|0.125|ZERO|A
943|A|"data/parsed/22/wsj_2205.mrg|11|55"|And before the opening of trading here yesterday , all eyes were on early trading in Tokyo for [ a clue ] as to how widespread the fallout might be .|clue|sg|NN|[u'indication.n.01']||NP|[]|[]|False|[]|['as', 'to']|[]|['Tokyo', 'for']|NN|False|True|False|9|False|PP|as|were|False|0.642857142857|ZERO|A
955|A|"data/parsed/22/wsj_2205.mrg|14|15"|Tokyo stocks closed off [ a significant but less-than-alarming 1.8 % ] on thin volume ; Hong Kong stocks declined 6.5 % in orderly trading .|%|sg|NN|||ADVP|[]|['JJ', 'CC', 'JJ', 'CD']|False|[]|['on', 'thin']|['significant', 'but', 'less-than-alarming', '<number>']|[u'close', 'off']|NN|False|False|False|0|False|||closed|False|0.210526315789|ZERO|A
1023|A|"data/parsed/22/wsj_2205.mrg|25|58"|For the third time in 15 minutes , a trader next to Mr. Smith left the no-smoking area to have [ a cigarette . ]|cigarette|sg|NN|[u'roll_of_tobacco.n.01']||VP|['.']|[]|False|['.']|[]|[]|['to', 'have']|NN|False|False|False|0|False|||to|False|0.952380952381|ZERO|A
1027|A|"data/parsed/22/wsj_2205.mrg|26|45"|On the screens , only two forlorn blue figures remained , but the index had recovered [ a few points ] and was off about 140 .|point|pl|NN|[u'component.n.01']||VP|[]|['JJ']|False|[]|['and', u'be']|['few']|[u'have', u'recover']|NN|False|False|False|0|False|||had|False|0.695652173913|ZERO|A
