,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
180,data/parsed/22/wsj_2201.mrg|11|64,"The brokerage firms learned a lesson the last time around , when frightened investors flooded the phone lines and fled the market in [ a panic . ]",panic,sg,NN,[u'fear.n.01'],,PP,['.'],[],False,['.'],[],[],"['market', 'in']",ZERO,A
467,data/parsed/22/wsj_2202.mrg|6|71,"He hit a 2-0 pitch from Rick Reuschel into the left-field stands in inning four to stretch his team 's lead from 2-1 to [ a decisive 5-1 , ] where it stayed .",5-1,,CD,,,NP,"[',']",['JJ'],False,"[',']","['where', 'it']",['decisive'],"['2-1', 'to']",ZERO,A
645,data/parsed/22/wsj_2202.mrg|30|44,"In the opening game , besides Steinbach and Stewart , there was Walt Weiss , [ a twiggy-looking , ] second-year shortstop who had lost a couple months of the season to knee surgery .",twiggy-looking,sg,NN,,,NP,"[',']",[],False,"[',']","['second-year', 'shortstop']",[],"['Weiss', ',']",ZERO,A
647,data/parsed/22/wsj_2202.mrg|30|69,"In the opening game , besides Steinbach and Stewart , there was Walt Weiss , a twiggy-looking , second-year shortstop who had lost [ a couple months ] of the season to knee surgery .",month,pl,NN,[u'time_period.n.01'],,NP,[],['JJ'],False,[],['of'],['couple'],"[u'have', u'lose']",ZERO,A
786,data/parsed/22/wsj_2203.mrg|9|33,"Analysts estimate those gains at 12 % to 13 % , [ a good part ] of it coming from large orders placed by a few of NCR 's major customers .",part,sg,NN,[u'relation.n.01'],,NP,[],['JJ'],False,[],"['of', 'it']",['good'],"['%', ',']",ZERO,A
872,data/parsed/22/wsj_2204.mrg|3|43,"Why not extend the same harsh standards to the sales force , and pay brokers [ a base salary ] with annual bonus based on how much money they made for their clients during the year ?",salary,sg,NN,[u'regular_payment.n.01'],,NP,[],['JJ'],False,[],"['with', 'annual']",['base'],"['pay', u'broker']",ZERO,A
885,data/parsed/22/wsj_2204.mrg|5|19,"Now , would n't that be [ a novelty . ]",novelty,sg,NN,[u'originality.n.02'],,VP,['.'],[],False,['.'],[],[],"['that', 'be']",ZERO,A
889,data/parsed/22/wsj_2205.mrg|1|11,"Steve Clark , [ a Shearson Lehman Hutton Inc. trader , ] reported for work at 5 a.m. , two and a half hours before the usual Monday morning strategy meeting .",trader,sg,NN,[u'merchant.n.01'],,NP,"[',']","['NNP', 'NNP', 'NNP', 'NNP']",False,"[',']","[u'report', 'for']","['Shearson', 'Lehman', 'Hutton', 'Inc.']","['Clark', ',']",ZERO,A
955,data/parsed/22/wsj_2205.mrg|14|15,Tokyo stocks closed off [ a significant but less-than-alarming 1.8 % ] on thin volume ; Hong Kong stocks declined 6.5 % in orderly trading .,%,sg,NN,,,ADVP,[],"['JJ', 'CC', 'JJ', 'CD']",False,[],"['on', 'thin']","['significant', 'but', 'less-than-alarming', '<number>']","[u'close', 'off']",ZERO,A
1027,data/parsed/22/wsj_2205.mrg|26|45,"On the screens , only two forlorn blue figures remained , but the index had recovered [ a few points ] and was off about 140 .",point,pl,NN,[u'component.n.01'],,VP,[],['JJ'],False,[],"['and', u'be']",['few'],"[u'have', u'recover']",ZERO,A
1031,data/parsed/22/wsj_2205.mrg|27|36,"`` Because Tokyo did n't collapse , let 's pick up [ a little stock , '' ] Mr. Smith said .",stock,sg,NN,[u'capital.n.01'],,VP,"[',', ""''""]",['JJ'],True,"[',', ""''""]","['Mr.', 'Smith']",['little'],"['pick', 'up']",ZERO,A
1069,data/parsed/22/wsj_2205.mrg|34|68,"By this time , it was 4:30 a.m. in New York , and Mr. Smith fielded a call from a New York customer wanting [ an opinion ] on the British stock market , which had been having troubles of its own even before Friday 's New York market break .",opinion,sg,NN,[u'belief.n.01'],,NP,[],[],False,[],['on'],[],"['customer', u'want']",ZERO,A
1076,data/parsed/22/wsj_2205.mrg|35|33,"`` Fundamentally dangerous ... , '' Mr. Smith said , almost in [ a whisper , `` ... . ] fundamentally weak ... fairly vulnerable still ... extremely dangerously poised ...",whisper,sg,NN,[u'speaking.n.01'],,NP,"[',', '``', ':', '.']",[],False,"[',', '``', '...', '.']","['fundamentally', 'weak']",[],"['almost', 'in']",ZERO,A
1182,data/parsed/22/wsj_2206.mrg|1|50,"Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have [ a million people ] working for you , every bad thing that has one chance in a million of going wrong will go wrong at least once a year , '' is a pretty negative way of looking at things .",people,pl,NN,[u'group.n.01'],,NP,[],['CD'],False,[],"[u'work', 'for']",['million'],"['you', 'have']",ZERO,A
1186,data/parsed/22/wsj_2206.mrg|1|94,"Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have a million people working for you , every bad thing that has one chance in [ a million ] of going wrong will go wrong at least once a year , '' is a pretty negative way of looking at things .",million,,CD,[u'large_integer.n.01'],,NP,[],[],False,[],"['of', u'go']",[],"['chance', 'in']",ZERO,A
1192,data/parsed/22/wsj_2206.mrg|2|39,"Is n't it just as fair to say that if you have [ a million people ] working for you , every good thing that has one chance in a million of going right will go right at least once a year ?",people,pl,NN,[u'group.n.01'],,NP,[],['CD'],True,[],"[u'work', 'for']",['million'],"['you', 'have']",ZERO,A
1196,data/parsed/22/wsj_2206.mrg|2|83,"Is n't it just as fair to say that if you have a million people working for you , every good thing that has one chance in [ a million ] of going right will go right at least once a year ?",million,,CD,[u'large_integer.n.01'],,NP,[],[],True,[],"['of', u'go']",[],"['chance', 'in']",ZERO,A
1333,data/parsed/22/wsj_2207.mrg|18|144,"The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through disposal of assets , or give control to [ a foreign interest . ]",interest,sg,NN,[u'curiosity.n.01'],,PP,['.'],['JJ'],False,['.'],[],['foreign'],"['control', 'to']",ZERO,A
1375,data/parsed/22/wsj_2208.mrg|2|35,"`` It could be a long meeting or it could be [ a short one , '' ] said Doug Hammond , the mediator , who called the agreement to meet a first step toward a resumption of negotiations .",one,sg,NN,[u'digit.n.01'],,VP,"[',', ""''""]",['JJ'],False,"[',', ""''""]","[u'say', 'Doug']",['short'],"['could', 'be']",ZERO,A
1593,data/parsed/22/wsj_2210.mrg|19|42,"`` They all went in the wrong direction , '' said Andreas Insam , [ an investment adviser ] for the Bank in Liechtenstein 's Frankfurt branch .",adviser,sg,NN,[u'authority.n.03'],,NP,[],['NN'],False,[],['for'],['investment'],"['Insam', ',']",ZERO,A
1637,data/parsed/22/wsj_2210.mrg|26|73,"That is why everybody was a little surprised by the storm of sell orders from small private investors , '' said Norbert Braeuer , [ a senior trader ] for Hessische Landesbank .",trader,sg,NN,[u'merchant.n.01'],,NP,[],['JJ'],False,[],"['for', 'Hessische']",['senior'],"['Braeuer', ',']",ZERO,A
1732,data/parsed/22/wsj_2210.mrg|42|13,"`` There was [ a volatility ] in the market that I have never seen before , '' said Michel Vigier , a partner in brokerage firm Cholet Dupont .",volatility,sg,NN,[u'chemical_property.n.01'],,NP,[],[],False,[],['in'],[],"['There', u'be']",ZERO,A
2007,data/parsed/22/wsj_2211.mrg|39|44,"As a result , Security Pacific 's net interest margin fell only 13 basis points , [ a more mild decrease ] than some major banks outside California , which have been reporting more sluggish earnings .",decrease,sg,NN,[u'change.n.01'],,NP,[],"['JJR', 'JJ']",True,[],"['than', 'some']","['more', 'mild']","[u'point', ',']",ZERO,A
2098,data/parsed/22/wsj_2212.mrg|5|46,BellSouth has notified LIN that it would `` shortly respond to the McCaw proposal in [ as full and effective a manner ] as is warranted . '',manner,sg,NN,[u'property.n.02'],,PP,[],"['RB', 'JJ', 'CC', 'JJ']",False,[],"['as', u'be']","['as', 'full', 'and', 'effective']","['proposal', 'in']",ZERO,A
2294,data/parsed/22/wsj_2215.mrg|5|20,The guy who throws [ an intercept ] 'Cause his receiver slips Should somehow be advised that we At home can read his lips .,intercept,,JJ,[u'point.n.01'],,NP,[],[],False,[],"[""'Cause"", 'his']",[],"['who', u'throw']",ZERO,A
2356,data/parsed/22/wsj_2216.mrg|6|89,"Also under the agreement , debenture holders will get one million shares of common stock in exchange for $ 7.7 million in debentures and holders of BancOklahoma 's series [ A preferred stock ] will receive 1.25 shares of common stock for every share of preferred they own , the company said S .",stock,sg,NN,[u'capital.n.01'],,S,[],['VBN'],True,[],"['will', 'receive']",[u'prefer'],"[""'s"", 'series']",ZERO,A
2656,data/parsed/22/wsj_2222.mrg|5|119,"The New York Stock Exchange adopted two specific circuit breakers : If the Dow Jones index falls 250 points in a day , the exchange will halt trading for one hour ; if the decline hits 400 points , the exchange will close for [ an additional two hours . ]",hour,pl,NN,[u'work_time.n.01'],,PP,['.'],"['JJ', 'CD']",False,['.'],[],"['additional', 'two']","['close', 'for']",ZERO,A
2670,data/parsed/22/wsj_2222.mrg|8|26,A temporary cessation of trading may indeed discourage [ a selling panic ] from feeding on itself .,panic,sg,NN,[u'fear.n.01'],,VP,[],['NN'],True,[],"['from', u'feed']",['selling'],"['indeed', 'discourage']",ZERO,A
2711,data/parsed/22/wsj_2222.mrg|18|50,"Futures trading , however , was halted altogether at 3:45 , after the futures markets had dropped [ an additional 30 points , ] which is the daily limit for price declines .",point,pl,NN,[u'component.n.01'],,NP,"[',']","['JJ', 'CD']",False,"[',']","['which', u'be']","['additional', '<number>']","[u'have', u'drop']",ZERO,A
2790,data/parsed/22/wsj_2222.mrg|32|34,The New York Stock Exchange now has the capacity to handle [ a volume ] of nearly a billion shares a day .,volume,sg,NN,[u'measure.n.02'],,NP,[],[],False,[],"['of', 'nearly']",[],"['to', 'handle']",ZERO,A
2811,data/parsed/22/wsj_2222.mrg|35|53,Witness the fact that trading in some stocks closed early Friday and opened late Monday because of [ an excess ] of sell orders . -RRB-,excess,sg,NN,[u'overabundance.n.02'],,NP,[],[],False,[],"['of', 'sell']",[],"['because', 'of']",ZERO,A
2865,data/parsed/22/wsj_2223.mrg|7|7,CLUBBING [ A FAN ] was n't the Baltimore Orioles ' fault .,FAN,sg,NNP,[u'device.n.01'],,VP,[],[],False,[],"[u'be', ""n't""]",[],['CLUBBING'],ZERO,A
2876,data/parsed/22/wsj_2223.mrg|9|17,"The players were heckled by [ a patron ] during a July 4 , 1988 , game with the Martinsville Phillies .",patron,sg,NN,[u'customer.n.01'],,PP,[],[],False,[],['during'],[],"[u'heckle', 'by']",ZERO,A
2877,data/parsed/22/wsj_2223.mrg|9|26,"The players were heckled by a patron during [ a July 4 , 1988 , ] game with the Martinsville Phillies .",July,sg,NNP,[u'gregorian_calendar_month.n.01'],,NP,"['CD', ',', 'CD', ',']",[],False,"['<number>', ',', '<number>', ',']","['game', 'with']",[],"['patron', 'during']",ZERO,A
2958,data/parsed/22/wsj_2223.mrg|23|53,"TREATING EMPLOYEES with respect is crucial for managers , says S consultant Hay Group after surveys of [ a million workers . ]",worker,pl,NN,[u'person.n.01'],,PP,['.'],['CD'],False,['.'],[],['million'],"[u'survey', 'of']",ZERO,A
3216,data/parsed/22/wsj_2225.mrg|13|42,"He says the test is continuing in Chicago , Columbus , Ohio , and [ a few other cities . ]",city,pl,NN,[u'municipality.n.01'],,NP,['.'],"['JJ', 'JJ']",False,['.'],[],"['few', 'other']","[',', 'and']",ZERO,A
3262,data/parsed/22/wsj_2225.mrg|25|54,Its radio series features such spots as `` Floodlights : Evening Wear for Urban Structures '' and `` Building [ a Place ] to Park . '',Place,sg,NN,[u'point.n.02'],,VP,[],[],False,[],"['to', 'Park']",[],"['``', 'Building']",ZERO,A
3480,data/parsed/22/wsj_2227.mrg|12|17,It once pushed for [ a national housing production goal ] set by the federal government and has regularly advanced anti-recession housing measures .,goal,sg,NN,[u'content.n.05'],,NP,[],"['JJ', 'NN', 'NN']",False,[],"['set', 'by']","['national', 'housing', 'production']","[u'push', 'for']",ZERO,A
3490,data/parsed/22/wsj_2227.mrg|14|15,"The association is pushing [ an extensive and expensive wish-list , ] which would substantially boost spending above the current level of more than $ 15 billion annually .",wish-list,sg,NN,,,NP,"[',']","['JJ', 'CC', 'JJ']",False,"[',']","['which', 'would']","['extensive', 'and', 'expensive']","[u'be', u'push']",ZERO,A
3517,data/parsed/22/wsj_2227.mrg|17|140,"Though Mr. Colton says expanding FHA lending would result in `` no cost to the government , '' the mere diversion of funds from other parts of the economy and from other forms of housing -LRB- such as low-income -RRB- to the single-family home market would result in [ a major expense . ]",expense,sg,NN,[u'cost.n.01'],,PP,['.'],['JJ'],False,['.'],[],['major'],"['result', 'in']",ZERO,A
3537,data/parsed/22/wsj_2227.mrg|20|80,The federal government has had to pump in $ 2.28 billion into the VA housing program since 1984 to keep the fund afloat and the VA requested [ an additional $ 120 million ] for the fiscal year just ended .,$,,QP,,,NP,[],['JJ'],True,[],['for'],['additional'],"['VA', u'request']",ZERO,A
3705,data/parsed/22/wsj_2229.mrg|7|81,"Although the union-bidder expects to patch together a substitute offer , consisting of less cash , the failure to get cash from Japanese and American banks confirmed [ a growing fear ] among arbitragers that the pageant of high-leverage takeover deals is ending .",fear,sg,NN,[u'emotion.n.01'],,NP,[],['VBG'],False,[],"['among', u'arbitrager']",[u'grow'],"[u'bank', u'confirm']",ZERO,A
4128,data/parsed/22/wsj_2230.mrg|32|12,"Nobuto Yasuda , [ a director ] at Yamaichi Investment Trust & Management Co. , called yesterday 's session `` a good scenario '' for Japan .",director,sg,NN,[u'administrator.n.01'],,NP,[],[],False,[],"['at', 'Yamaichi']",[],"['Yasuda', ',']",ZERO,A
4153,data/parsed/22/wsj_2230.mrg|37|16,"`` Unless there is [ a panic , ] this is the best time to buy , as was the case two years ago , '' he said .",panic,sg,NN,[u'fear.n.01'],,VP,"[',']",[],False,"[',']","['this', u'be']",[],"['there', u'be']",ZERO,A
4280,data/parsed/22/wsj_2230.mrg|56|12,"Richard Chenevix-Trench , [ a director ] at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit bottom yet but is close .",director,sg,NN,[u'administrator.n.01'],,NP,[],[],False,[],"['at', 'Hong']",[],"['Chenevix-Trench', ',']",ZERO,A
